Date,Home_ranking,Home_team,Home_result,Away_ranking,Away_team,Away_result,Result,Increment,Venue,Weight,Category,new_increment,HFA
2021-01-11,107.85,MKD,3,91.5,BIH,1,1,2.88,MKD,1.75,1,-2.883128584319824,1
2021-01-12,104.6,ISR,0,99.0,AUT,3,5,4.51,ISR,1.75,1,4.511625806176003,1
2021-01-12,88.62,BIH,0,136.05,TUR,3,5,3.23,MKD,1.75,1,3.238702782803704,0
2021-01-13,115.05,MKD,1,139.28,TUR,3,4,2.69,MKD,1.75,1,-2.6928051973356717,1
2021-01-13,103.52,AUT,1,192.96,BUL,3,4,1.22,ISR,1.75,1,1.2345703999098667,0
2021-01-14,112.36,MKD,3,90.22,BIH,0,0,3.83,MKD,1.75,1,3.836882871322125,1
2021-01-14,100.09,ISR,0,194.19,BUL,3,5,2.22,ISR,1.75,1,-2.235986461113962,1
2021-01-15,97.86,ISR,3,102.29,AUT,2,2,2.3,ISR,1.75,1,2.295591263678286,1
2021-01-15,145.31,TUR,3,86.39,BIH,0,0,2.97,MKD,1.75,1,-2.977346498517884,0
2021-01-16,196.41,BUL,3,100.0,AUT,0,0,2.18,ISR,1.75,1,-2.1909443543564087,0
2021-01-16,120.08,MKD,3,148.28,TUR,1,1,3.97,MKD,1.75,1,-3.9649368272786663,1
2021-01-17,100.16,ISR,0,198.59,BUL,3,5,2.14,ISR,1.75,1,2.151959575486119,1
2021-05-06,118.56,SVK,3,108.0,SUI,0,0,4.12,SVK,1.75,1,-4.117533471130065,1
2021-05-06,114.0,ROU,3,93.32,ALB,0,0,3.87,SVK,1.75,1,-3.872109270869231,0
2021-05-07,93.34,HUN,3,106.84,NOR,1,1,3.61,HUN,1.75,1,-3.610205182895948,1
2021-05-07,101.32,AZE,1,114.6,MNE,3,4,2.96,GEO,1.75,1,2.9576398149444287,0
2021-05-07,105.6,BLR,2,105.84,POR,3,3,2.18,HUN,1.75,1,2.1816430918768064,0
2021-05-07,103.88,SUI,3,89.45,ALB,0,0,4.02,SVK,1.75,1,-4.023458909086568,0
2021-05-07,85.56,GEO,0,112.31,GRE,3,5,3.72,GEO,1.75,1,3.726041925329833,1
2021-05-07,105.62,CRO,1,168.78,NED,3,4,1.78,CRO,1.75,1,1.7892534191677516,1
2021-05-07,122.68,SVK,3,117.87,ROU,1,1,3.16,SVK,1.75,1,-3.1638902082406117,1
2021-05-08,96.96,HUN,0,103.42,BLR,3,5,4.22,HUN,1.75,1,-4.21740589345677,1
