Date,Unnamed: 2,Score,Unnamed: 4,Venue
7 Jan,Chinese Taipei,0–3,Iran,China
7 Jan,China,3–0,Kazakhstan,China
8 Jan,Kazakhstan,0–3,Iran,China
8 Jan,China,3–2,Chinese Taipei,China
9 Jan,Chinese Taipei,3–1,Kazakhstan,China
9 Jan,Iran,3–0,China,China
7 Jan,Qatar,3–0,India,China
7 Jan,Australia,3–2,South Korea,China
8 Jan,Australia,0–3,Qatar,China
8 Jan,South Korea,3–0,India,China
9 Jan,India,1–3,Australia,China
9 Jan,Qatar,2–3,South Korea,China
11 Jan,Iran,3–2,South Korea,China
11 Jan,Qatar,1–3,China,China
12 Jan,China,0–3,Iran,China
