Date,Unnamed: 2,Score,Unnamed: 4,Venue
5 Jan,Slovenia,3–0,Belgium,Germany
5 Jan,Czech Republic,0–3,Germany,Germany
6 Jan,Belgium,0–3,Germany,Germany
7 Jan,Belgium,3–2,Czech Republic,Germany
7 Jan,Germany,2–3,Slovenia,Germany
8 Jan,Slovenia,3–1,Czech Republic,Germany
5 Jan,France,3–0,Serbia,Germany
6 Jan,Netherlands,0–3,Serbia,Germany
6 Jan,Bulgaria,3–2,France,Germany
7 Jan,Bulgaria,3–0,Netherlands,Germany
8 Jan,Serbia,2–3,Bulgaria,Germany
8 Jan,France,2–3,Netherlands,Germany
9 Jan,Slovenia,2–3,France,Germany
9 Jan,Bulgaria,1–3,Germany,Germany
10 Jan,France,3–0,Germany,Germany
