Date,Unnamed: 3,Score,Unnamed: 5,Venue
7 Sep,Uganda,3–1,Burkina Faso,Rwanda
7 Sep,Rwanda,3–0,Burundi,Rwanda
9 Sep,Burundi,0–3,Uganda,Rwanda
9 Sep,Burkina Faso,0–3,Rwanda,Rwanda
10 Sep,Burkina Faso,1–3,Burundi,Rwanda
10 Sep,Rwanda,3–2,Uganda,Rwanda
7 Sep,South Sudan,2–3,Ethiopia,Rwanda
7 Sep,Nigeria,0–3,Tunisia,Rwanda
8 Sep,Tunisia,3–0,Ethiopia,Rwanda
8 Sep,Nigeria,3–0,South Sudan,Rwanda
10 Sep,South Sudan,0–3,Tunisia,Rwanda
10 Sep,Ethiopia,1–3,Nigeria,Rwanda
7 Sep,Cameroon,3–1,DR Congo,Rwanda
7 Sep,Mali,3–2,Niger,Rwanda
8 Sep,Niger,2–3,DR Congo,Rwanda
8 Sep,Mali,0–3,Cameroon,Rwanda
9 Sep,DR Congo,3–0,Mali,Rwanda
9 Sep,Cameroon,3–0,Niger,Rwanda
8 Sep,Morocco,3–0,Tanzania,Rwanda
8 Sep,Kenya,3–2,Egypt,Rwanda
9 Sep,Egypt,3–0,Tanzania,Rwanda
9 Sep,Morocco,3–1,Kenya,Rwanda
10 Sep,Kenya,3–0,Tanzania,Rwanda
10 Sep,Egypt,3–1,Morocco,Rwanda
11 Sep,Burundi,3–0,Tanzania,Rwanda
11 Sep,Kenya,3–0,Burkina Faso,Rwanda
11 Sep,Ethiopia,1–3,Niger,Rwanda
11 Sep,Mali,3–2,South Sudan,Rwanda
13 Sep,Tanzania,0–3,South Sudan,Rwanda
13 Sep,Burkina Faso,3–1,Ethiopia,Rwanda
13 Sep,Burundi,1–3,Mali,Rwanda
13 Sep,Kenya,3–1,Niger,Rwanda
14 Sep,Tanzania,0–3,Ethiopia,Rwanda
14 Sep,South Sudan,2–3,Burkina Faso,Rwanda
14 Sep,Burundi,3–1,Niger,Rwanda
14 Sep,Mali,0–3,Kenya,Rwanda
11 Sep,Cameroon,3–1,Nigeria,Rwanda
11 Sep,Tunisia,3–0,DR Congo,Rwanda
11 Sep,Egypt,3–1,Uganda,Rwanda
11 Sep,Rwanda,0–3,Morocco,Rwanda
13 Sep,Uganda,3–1,DR Congo,Rwanda
13 Sep,Rwanda,3–0,Nigeria,Rwanda
13 Sep,Morocco,2–3,Cameroon,Rwanda
13 Sep,Egypt,1–3,Tunisia,Rwanda
14 Sep,Nigeria,3–0,DR Congo,Rwanda
14 Sep,Rwanda,1–3,Uganda,Rwanda
14 Sep,Morocco,1–3,Egypt,Rwanda
14 Sep,Cameroon,1–3,Tunisia,Rwanda
