Date,Unnamed: 2,Score,Unnamed: 4,Venue
14 Jul,Sri Lanka,3–0,Uzbekistan,Sri Lanka
12 Sep,Bahrain,3–0,India,Japan
12 Sep,Japan,3–0,Qatar,Japan
13 Sep,India,0–3,Qatar,Japan
13 Sep,Bahrain,1–3,Japan,Japan
14 Sep,Qatar,3–0,Bahrain,Japan
14 Sep,Japan,3–0,India,Japan
12 Sep,Thailand,2–3,Pakistan,Japan
12 Sep,Iran,3–0,Hong Kong,Japan
13 Sep,Hong Kong,1–3,Pakistan,Japan
13 Sep,Iran,3–0,Thailand,Japan
14 Sep,Pakistan,0–3,Iran,Japan
14 Sep,Thailand,3–1,Hong Kong,Japan
12 Sep,Kuwait,0–3,China,Japan
12 Sep,Australia,3–0,Uzbekistan,Japan
13 Sep,Uzbekistan,0–3,China,Japan
13 Sep,Australia,3–0,Kuwait,Japan
14 Sep,Kuwait,3–1,Uzbekistan,Japan
14 Sep,China,2–3,Australia,Japan
12 Sep,Chinese Taipei,3–0,Kazakhstan,Japan
12 Sep,Saudi Arabia,0–3,South Korea,Japan
13 Sep,Saudi Arabia,0–3,Chinese Taipei,Japan
13 Sep,South Korea,3–0,Kazakhstan,Japan
14 Sep,Kazakhstan,0–3,Saudi Arabia,Japan
14 Sep,Chinese Taipei,3–1,South Korea,Japan
16 Sep,Qatar,3–0,Australia,Japan
16 Sep,Japan,1–3,China,Japan
17 Sep,Qatar,2–3,China,Japan
17 Sep,Japan,3–0,Australia,Japan
16 Sep,Pakistan,1–3,Chinese Taipei,Japan
16 Sep,Iran,3–0,South Korea,Japan
17 Sep,Pakistan,3–0,South Korea,Japan
17 Sep,Iran,3–0,Chinese Taipei,Japan
16 Sep,India,3–0,Kuwait,Japan
16 Sep,Bahrain,3–0,Uzbekistan,Japan
17 Sep,India,3–0,Uzbekistan,Japan
17 Sep,Bahrain,3–0,Kuwait,Japan
16 Sep,Thailand,1–3,Kazakhstan,Japan
16 Sep,Hong Kong,0–3,Saudi Arabia,Japan
17 Sep,Hong Kong,0–3,Kazakhstan,Japan
17 Sep,Thailand,1–3,Saudi Arabia,Japan
18 Sep,Uzbekistan,3–2,Thailand,Japan
18 Sep,Kuwait,2–3,Hong Kong,Japan
19 Sep,Kuwait,1–3,Thailand,Japan
19 Sep,Hong Kong,0–3,Uzbekistan,Japan
18 Sep,Bahrain,3–1,Kazakhstan,Japan
18 Sep,India,3–0,Saudi Arabia,Japan
19 Sep,Kazakhstan,3–0,Saudi Arabia,Japan
19 Sep,Bahrain,2–3,India,Japan
18 Sep,Qatar,3–0,South Korea,Japan
18 Sep,Australia,3–0,Pakistan,Japan
19 Sep,South Korea,0–3,Pakistan,Japan
19 Sep,Qatar,3–0,Australia,Japan
18 Sep,China,1–3,Iran,Japan
18 Sep,Japan,3–1,Chinese Taipei,Japan
19 Sep,Chinese Taipei,0–3,China,Japan
19 Sep,Japan,0–3,Iran,Japan
