Date,Unnamed: 2,Score,Unnamed: 4,Venue
2 Sep,Greece,2–3,Ukraine,Poland
2 Sep,Poland,3–1,Portugal,Poland
2 Sep,Belgium,1–3,Serbia,Poland
3 Sep,Belgium,2–3,Portugal,Poland
3 Sep,Ukraine,0–3,Serbia,Poland
4 Sep,Belgium,3–0,Greece,Poland
4 Sep,Serbia,2–3,Poland,Poland
5 Sep,Portugal,2–3,Ukraine,Poland
5 Sep,Greece,1–3,Poland,Poland
6 Sep,Portugal,1–3,Serbia,Poland
6 Sep,Poland,3–0,Belgium,Poland
7 Sep,Serbia,3–2,Greece,Poland
7 Sep,Ukraine,3–1,Belgium,Poland
8 Sep,Poland,3–0,Ukraine,Poland
8 Sep,Greece,1–3,Portugal,Poland
3 Sep,Italy,3–0,Belarus,Czech Republic
3 Sep,Montenegro,0–3,Bulgaria,Czech Republic
3 Sep,Czech Republic,3–1,Slovenia,Czech Republic
4 Sep,Montenegro,0–3,Slovenia,Czech Republic
4 Sep,Belarus,3–1,Czech Republic,Czech Republic
5 Sep,Czech Republic,2–3,Bulgaria,Czech Republic
5 Sep,Italy,3–0,Montenegro,Czech Republic
6 Sep,Bulgaria,1–3,Italy,Czech Republic
6 Sep,Slovenia,3–0,Belarus,Czech Republic
7 Sep,Slovenia,3–0,Bulgaria,Czech Republic
7 Sep,Montenegro,0–3,Czech Republic,Czech Republic
8 Sep,Italy,3–0,Slovenia,Czech Republic
8 Sep,Belarus,3–0,Montenegro,Czech Republic
9 Sep,Bulgaria,3–1,Belarus,Czech Republic
9 Sep,Czech Republic,1–3,Italy,Czech Republic
1 Sep,Finland,3–1,North Macedonia,Finland
2 Sep,Russia,1–3,Turkey,Finland
2 Sep,Netherlands,3–0,Spain,Finland
3 Sep,Turkey,3–1,Spain,Finland
3 Sep,Netherlands,3–0,North Macedonia,Finland
4 Sep,Spain,0–3,Finland,Finland
4 Sep,Netherlands,2–3,Russia,Finland
5 Sep,North Macedonia,0–3,Turkey,Finland
5 Sep,Russia,3–1,Finland,Finland
6 Sep,North Macedonia,1–3,Spain,Finland
6 Sep,Turkey,1–3,Netherlands,Finland
7 Sep,Spain,1–3,Russia,Finland
7 Sep,Finland,1–3,Netherlands,Finland
8 Sep,Russia,3–0,North Macedonia,Finland
8 Sep,Finland,3–2,Turkey,Finland
1 Sep,Estonia,1–3,Latvia,Estonia
3 Sep,Croatia,0–3,Germany,Estonia
3 Sep,France,3–0,Slovakia,Estonia
4 Sep,Slovakia,2–3,Estonia,Estonia
4 Sep,Croatia,3–2,Latvia,Estonia
5 Sep,Estonia,0–3,Germany,Estonia
5 Sep,France,3–0,Croatia,Estonia
6 Sep,Latvia,2–3,Slovakia,Estonia
6 Sep,Germany,1–3,France,Estonia
7 Sep,Latvia,1–3,Germany,Estonia
7 Sep,Croatia,3–2,Estonia,Estonia
8 Sep,Slovakia,1–3,Croatia,Estonia
8 Sep,France,3–0,Latvia,Estonia
9 Sep,Germany,3–2,Slovakia,Estonia
9 Sep,Estonia,0–3,France,Estonia
11 Sep,Russia,3–1,Ukraine,Poland
11 Sep,Poland,3–0,Finland,Poland
12 Sep,Italy,3–0,Latvia,Czech Republic
12 Sep,Netherlands,3–2,Portugal,Poland
12 Sep,Germany,3–1,Bulgaria,Czech Republic
12 Sep,Serbia,3–2,Turkey,Poland
13 Sep,Slovenia,3–1,Croatia,Czech Republic
13 Sep,France,0–3,Czech Republic,Czech Republic
14 Sep,Netherlands,0–3,Serbia,Poland
14 Sep,Poland,3–0,Russia,Poland
15 Sep,Italy,3–0,Germany,Czech Republic
15 Sep,Czech Republic,0–3,Slovenia,Czech Republic
18 Sep,Poland,1–3,Slovenia,Poland
18 Sep,Serbia,1–3,Italy,Poland
19 Sep,Poland,3–0,Serbia,Poland
19 Sep,Slovenia,2–3,Italy,Poland
