Date,Unnamed: 2,Score,Unnamed: 4,Venue
28 May,Estonia,3–0,Spain,Belgium
28 May,Latvia,1–3,Belgium,Belgium
29 May,Spain,1–3,Belgium,Belgium
29 May,Estonia,3–0,Latvia,Belgium
30 May,Spain,3–1,Latvia,Belgium
30 May,Belgium,2–3,Estonia,Belgium
4 Jun,Estonia,3–1,Spain,Belgium
4 Jun,Latvia,1–3,Belgium,Belgium
5 Jun,Spain,3–0,Latvia,Belgium
5 Jun,Belgium,1–3,Estonia,Belgium
6 Jun,Spain,0–3,Belgium,Belgium
6 Jun,Estonia,3–0,Latvia,Belgium
1 Jun,Ukraine,3–1,Romania,Belgium
2 Jun,Romania,2–3,Slovakia,Belgium
3 Jun,Slovakia,0–3,Ukraine,Belgium
4 Jun,Romania,1–3,Ukraine,Belgium
5 Jun,Slovakia,1–3,Romania,Belgium
6 Jun,Ukraine,3–1,Slovakia,Belgium
28 May,Czech Republic,1–3,Turkey,Belgium
29 May,Portugal,0–3,Turkey,Belgium
29 May,Belarus,3–1,Czech Republic,Belgium
30 May,Czech Republic,2–3,Portugal,Belgium
30 May,Turkey,3–0,Belarus,Belgium
31 May,Belarus,3–2,Portugal,Belgium
4 Jun,Turkey,3–0,Belarus,Belgium
4 Jun,Czech Republic,3–0,Portugal,Belgium
5 Jun,Belarus,1–3,Czech Republic,Belgium
5 Jun,Portugal,0–3,Turkey,Belgium
6 Jun,Czech Republic,1–3,Turkey,Belgium
6 Jun,Belarus,3–2,Portugal,Belgium
21 May,Denmark,3–2,Israel,Belgium
21 May,Cyprus,0–3,North Macedonia,Belgium
22 May,Denmark,3–0,Cyprus,Belgium
22 May,Israel,1–3,North Macedonia,Belgium
23 May,Israel,3–2,Cyprus,Belgium
23 May,North Macedonia,0–3,Denmark,Belgium
28 May,Israel,0–3,Cyprus,Belgium
28 May,North Macedonia,3–0,Denmark,Belgium
29 May,Israel,1–3,North Macedonia,Belgium
29 May,Denmark,3–0,Cyprus,Belgium
30 May,Cyprus,1–3,North Macedonia,Belgium
30 May,Denmark,0–3,Israel,Belgium
21 May,Croatia,3–1,Luxembourg,Belgium
21 May,Austria,2–3,Hungary,Belgium
22 May,Hungary,3–0,Luxembourg,Belgium
22 May,Croatia,3–2,Austria,Belgium
23 May,Hungary,3–1,Croatia,Belgium
23 May,Luxembourg,0–3,Austria,Belgium
27 May,Austria,0–3,Hungary,Belgium
27 May,Croatia,3–0,Luxembourg,Belgium
28 May,Hungary,0–3,Croatia,Belgium
29 May,Croatia,2–3,Austria,Belgium
29 May,Hungary,3–0,Luxembourg,Belgium
30 May,Luxembourg,3–0,Austria,Belgium
5 Jun,North Macedonia,3–2,Croatia,Belgium
5 Jun,Hungary,1–3,Denmark,Belgium
6 Jun,Croatia,2–3,Hungary,Belgium
6 Jun,North Macedonia,1–3,Denmark,Belgium
19 Jun,Estonia,2–3,Turkey,Belgium
19 Jun,Ukraine,3–0,Belgium,Belgium
20 Jun,Estonia,3–0,Belgium,Belgium
20 Jun,Turkey,3–1,Ukraine,Belgium
