Date,Unnamed: 2,Score,Unnamed: 4,Venue
18 Aug,Canada,0–3,Puerto Rico,Mexico
18 Aug,Mexico,3–0,Trinidad and Tobago,Mexico
19 Aug,Canada,3–0,Trinidad and Tobago,Mexico
19 Aug,Mexico,3–1,Puerto Rico,Mexico
20 Aug,Puerto Rico,3–0,Trinidad and Tobago,Mexico
20 Aug,Mexico,3–0,Canada,Mexico
18 Aug,United States,3–2,Guatemala,Mexico
18 Aug,Cuba,3–1,Dominican Republic,Mexico
19 Aug,Cuba,3–0,Guatemala,Mexico
19 Aug,United States,3–1,Dominican Republic,Mexico
20 Aug,Dominican Republic,3–1,Guatemala,Mexico
20 Aug,United States,0–3,Cuba,Mexico
21 Aug,United States,2–3,Canada,Mexico
21 Aug,Puerto Rico,3–1,Dominican Republic,Mexico
22 Aug,Trinidad and Tobago,0–3,Dominican Republic,Mexico
22 Aug,Guatemala,1–3,United States,Mexico
22 Aug,Cuba,1–3,Puerto Rico,Mexico
22 Aug,Mexico,0–3,Canada,Mexico
23 Aug,Trinidad and Tobago,0–3,Guatemala,Mexico
23 Aug,Dominican Republic,1–3,United States,Mexico
23 Aug,Cuba,1–3,Mexico,Mexico
23 Aug,Puerto Rico,3–0,Canada,Mexico
