Date,Unnamed: 2,Score,Unnamed: 4,Venue
3 Sep,Suriname,0–3,Canada,Dominican Republic
3 Sep,United States,3–0,Mexico,Dominican Republic
3 Sep,Dominican Republic,3–1,Puerto Rico,Dominican Republic
4 Sep,Mexico,1–3,Canada,Dominican Republic
4 Sep,United States,3–0,Puerto Rico,Dominican Republic
4 Sep,Dominican Republic,3–0,Suriname,Dominican Republic
5 Sep,Suriname,0–3,Mexico,Dominican Republic
5 Sep,Puerto Rico,1–3,Canada,Dominican Republic
5 Sep,Dominican Republic,3–2,United States,Dominican Republic
6 Sep,United States,3–0,Suriname,Dominican Republic
6 Sep,Mexico,3–0,Puerto Rico,Dominican Republic
6 Sep,Dominican Republic,1–3,Canada,Dominican Republic
7 Sep,Puerto Rico,3–1,Suriname,Dominican Republic
7 Sep,Canada,2–3,United States,Dominican Republic
7 Sep,Dominican Republic,2–3,Mexico,Dominican Republic
8 Sep,United States,0–3,Mexico,Dominican Republic
8 Sep,Canada,3–0,Dominican Republic,Dominican Republic
8 Sep,Puerto Rico,3–1,Suriname,Dominican Republic
9 Sep,Dominican Republic,1–3,United States,Dominican Republic
9 Sep,Canada,0–3,Mexico,Dominican Republic
