Date,Unnamed: 3,Score,Unnamed: 5,Venue
7 Aug,Hong Kong,0–3,Thailand,Thailand
8 Aug,South Korea,3–0,Hong Kong,Thailand
9 Aug,Thailand,3–2,South Korea,Thailand
8 Aug,Pakistan,1–3,Iran,Thailand
7 Aug,India,0–3,Japan,Thailand
8 Aug,Australia,3–0,India,Thailand
9 Aug,Japan,3–0,Australia,Thailand
7 Aug,Chinese Taipei,0–3,Bahrain,Thailand
8 Aug,China,3–1,Chinese Taipei,Thailand
9 Aug,Bahrain,1–3,China,Thailand
11 Aug,Thailand,1–3,Australia,Thailand
11 Aug,Japan,2–3,South Korea,Thailand
12 Aug,Thailand,0–3,Japan,Thailand
12 Aug,South Korea,3–2,Australia,Thailand
11 Aug,Iran,1–3,Bahrain,Thailand
11 Aug,China,3–0,Pakistan,Thailand
12 Aug,Pakistan,0–3,Bahrain,Thailand
12 Aug,Iran,1–3,China,Thailand
11 Aug,Hong Kong,1–3,India,Thailand
12 Aug,India,0–3,Chinese Taipei,Thailand
13 Aug,Hong Kong,0–3,Chinese Taipei,Thailand
13 Aug,Thailand,1–3,Iran,Thailand
13 Aug,Australia,2–3,Pakistan,Thailand
14 Aug,Australia,1–3,Thailand,Thailand
14 Aug,Pakistan,0–3,Iran,Thailand
13 Aug,Japan,3–0,Bahrain,Thailand
13 Aug,South Korea,2–3,China,Thailand
14 Aug,Bahrain,3–0,South Korea,Thailand
14 Aug,Japan,0–3,China,Thailand
