Date,Unnamed: 2,Score,Unnamed: 4,Venue
24 Nov,Pakistan,3–0,Bangladesh,Pakistan
24 Nov,Iran,3–0,Afghanistan,Pakistan
25 Nov,Bangladesh,2–3,Sri Lanka,Pakistan
25 Nov,Pakistan,3–1,Afghanistan,Pakistan
26 Nov,Iran,3–0,Sri Lanka,Pakistan
26 Nov,Bangladesh,3–1,Afghanistan,Pakistan
27 Nov,Pakistan,3–0,Sri Lanka,Pakistan
27 Nov,Iran,3–0,Bangladesh,Pakistan
28 Nov,Pakistan,3–0,Iran,Pakistan
28 Nov,Sri Lanka,3–1,Afghanistan,Pakistan
29 Nov,Sri Lanka,2–3,Bangladesh,Pakistan
29 Nov,Pakistan,3–1,Iran,Pakistan
