Date,Unnamed: 2,Score,Unnamed: 4,Venue
3 Aug,Azerbaijan,1–3,Denmark,Azerbaijan
6 Aug,Azerbaijan,0–3,Turkey,Azerbaijan
10 Aug,Turkey,3–1,Denmark,Turkey
14 Aug,Denmark,3–2,Turkey,Denmark
17 Aug,Turkey,3–0,Azerbaijan,Turkey
20 Aug,Denmark,3–0,Azerbaijan,Denmark
3 Aug,Austria,1–3,Latvia,Austria
6 Aug,Latvia,1–3,Finland,Latvia
10 Aug,Finland,3–1,Austria,Finland
14 Aug,Austria,2–3,Finland,Austria
17 Aug,Finland,3–0,Latvia,Finland
21 Aug,Latvia,3–2,Austria,Latvia
3 Aug,Belgium,3–0,Faroe Islands,Belgium
7 Aug,Estonia,2–3,Belgium,Estonia
10 Aug,Faroe Islands,0–3,Estonia,Faroe Islands
13 Aug,Estonia,3–0,Faroe Islands,Estonia
17 Aug,Belgium,3–0,Estonia,Belgium
21 Aug,Faroe Islands,0–3,Belgium,Faroe Islands
3 Aug,Montenegro,3–0,Luxembourg,Montenegro
3 Aug,Portugal,3–0,Iceland,Portugal
7 Aug,Iceland,0–3,Luxembourg,Iceland
7 Aug,Montenegro,3–2,Portugal,Montenegro
10 Aug,Montenegro,3–0,Iceland,Montenegro
10 Aug,Portugal,3–0,Luxembourg,Portugal
13 Aug,Luxembourg,0–3,Portugal,Luxembourg
14 Aug,Iceland,0–3,Montenegro,Iceland
17 Aug,Luxembourg,3–0,Iceland,Luxembourg
17 Aug,Portugal,3–0,Montenegro,Portugal
20 Aug,Luxembourg,1–3,Montenegro,Luxembourg
21 Aug,Iceland,0–3,Portugal,Iceland
3 Aug,Norway,2–3,Greece,Norway
3 Aug,Croatia,3–0,Cyprus,Croatia
6 Aug,Cyprus,3–0,Norway,Cyprus
7 Aug,Greece,3–0,Croatia,Greece
10 Aug,Croatia,3–0,Norway,Croatia
10 Aug,Greece,3–0,Cyprus,Greece
13 Aug,Cyprus,0–3,Greece,Cyprus
14 Aug,Norway,0–3,Croatia,Norway
17 Aug,Norway,0–3,Cyprus,Norway
17 Aug,Croatia,1–3,Greece,Croatia
20 Aug,Cyprus,0–3,Croatia,Cyprus
21 Aug,Greece,3–0,Norway,Greece
3 Aug,Hungary,2–3,Spain,Hungary
3 Aug,Slovakia,3–0,Georgia,Slovakia
6 Aug,Georgia,0–3,Hungary,Georgia
7 Aug,Spain,3–0,Slovakia,Spain
10 Aug,Slovakia,3–0,Hungary,Slovakia
10 Aug,Spain,3–0,Georgia,Spain
13 Aug,Georgia,0–3,Spain,Georgia
13 Aug,Hungary,1–3,Slovakia,Hungary
17 Aug,Slovakia,1–3,Spain,Slovakia
17 Aug,Hungary,3–0,Georgia,Hungary
20 Aug,Georgia,0–3,Slovakia,Georgia
21 Aug,Spain,3–0,Hungary,Spain
3 Aug,Romania,3–0,Albania,Romania
3 Aug,Bosnia and Herzegovina,1–3,Switzerland,Bosnia and Herzegovina
6 Aug,Bosnia and Herzegovina,2–3,Albania,Bosnia and Herzegovina
7 Aug,Switzerland,3–2,Romania,Switzerland
7 Aug,Albania,1–3,Bosnia and Herzegovina,Albania
10 Aug,Romania,3–1,Bosnia and Herzegovina,Romania
10 Aug,Switzerland,3–1,Albania,Switzerland
11 Aug,Bosnia and Herzegovina,0–3,Romania,Romania
13 Aug,Albania,0–3,Switzerland,Albania
17 Aug,Romania,3–2,Switzerland,Romania
20 Aug,Albania,0–3,Romania,Albania
21 Aug,Switzerland,3–0,Bosnia and Herzegovina,Switzerland
