Date,Unnamed: 2,Score,Unnamed: 4,Venue
09 Aug,Sudan,0–3,Azerbaijan,Turkey
09 Aug,Morocco,3–2,Cameroon,Turkey
11 Aug,Sudan,0–3,Morocco,Turkey
11 Aug,Azerbaijan,0–3,Cameroon,Turkey
13 Aug,Sudan,0–3,Cameroon,Turkey
13 Aug,Azerbaijan,3–1,Morocco,Turkey
09 Aug,Iran,3–0,Qatar,Turkey
09 Aug,Pakistan,1–3,Turkey,Turkey
11 Aug,Pakistan,0–3,Iran,Turkey
11 Aug,Turkey,1–3,Qatar,Turkey
13 Aug,Pakistan,2–3,Qatar,Turkey
13 Aug,Turkey,3–2,Iran,Turkey
14 Aug,Iran,3–0,Azerbaijan,Turkey
14 Aug,Cameroon,3–1,Turkey,Turkey
15 Aug,Turkey,3–1,Azerbaijan,Turkey
15 Aug,Cameroon,1–3,Iran,Turkey
