Date,Unnamed: 2,Score,Unnamed: 4,Venue
7 Jun,China,1–3,Iran,Brazil
7 Jun,Slovenia,0–3,United States,Brazil
8 Jun,Japan,3–1,Netherlands,Brazil
8 Jun,Brazil,3–0,Australia,Brazil
9 Jun,Japan,3–1,China,Brazil
9 Jun,Netherlands,0–3,United States,Brazil
9 Jun,Brazil,3–1,Slovenia,Brazil
10 Jun,Netherlands,3–0,Iran,Brazil
10 Jun,Japan,2–3,United States,Brazil
10 Jun,Australia,0–3,Slovenia,Brazil
11 Jun,United States,3–1,Brazil,Brazil
11 Jun,Slovenia,3–1,China,Brazil
11 Jun,Iran,3–1,Australia,Brazil
12 Jun,Brazil,0–3,China,Brazil
12 Jun,Iran,0–3,Japan,Brazil
12 Jun,Netherlands,3–0,Australia,Brazil
7 Jun,Bulgaria,1–3,Serbia,Canada
7 Jun,Canada,0–3,Germany,Canada
8 Jun,Poland,3–0,Argentina,Canada
8 Jun,France,3–0,Italy,Canada
9 Jun,Germany,1–3,Argentina,Canada
9 Jun,Serbia,1–3,France,Canada
9 Jun,Poland,1–3,Italy,Canada
10 Jun,Serbia,3–2,Argentina,Canada
10 Jun,Bulgaria,2–3,Germany,Canada
10 Jun,France,3–0,Canada,Canada
11 Jun,Germany,3–2,Serbia,Canada
11 Jun,Bulgaria,0–3,Poland,Canada
11 Jun,Canada,0–3,Italy,Canada
12 Jun,France,1–3,Poland,Canada
12 Jun,Argentina,1–3,Italy,Canada
12 Jun,Bulgaria,2–3,Canada,Canada
21 Jun,Slovenia,0–3,Netherlands,Philippines
21 Jun,Argentina,1–3,Japan,Philippines
22 Jun,AChina,0–3,France,Philippines
22 Jun,Germany,0–3,Italy,Philippines
23 Jun,France,3–0,Netherlands,Philippines
23 Jun,China,3–0,GermanyB,Philippines
23 Jun,Argentina,1–3,Slovenia,Philippines
24 Jun,Germany,1–3,Netherlands,Philippines
24 Jun,Argentina,3–1,China,Philippines
24 Jun,Japan,3–2,Italy,Philippines
25 Jun,Argentina,2–3,Netherlands,Philippines
25 Jun,Japan,0–3,France,Philippines
25 Jun,Italy,3–0,Slovenia,Philippines
26 Jun,Germany,1–3,France,Philippines
26 Jun,Japan,3–1,Slovenia,Philippines
26 Jun,Italy,3–0,China,Philippines
21 Jun,Australia,1–3,Canada,Bulgaria
21 Jun,Iran,0–3,Bulgaria,Bulgaria
22 Jun,Brazil,1–3,Poland,Bulgaria
22 Jun,Serbia,1–3,United States,Bulgaria
23 Jun,Poland,3–0,Canada,Bulgaria
23 Jun,Serbia,0–3,Brazil,Bulgaria
23 Jun,United States,0–3,Iran,Bulgaria
24 Jun,Serbia,3–2,Canada,Bulgaria
24 Jun,Iran,0–3,Brazil,Bulgaria
24 Jun,Australia,3–2,Bulgaria,Bulgaria
25 Jun,Canada,0–3,Iran,Bulgaria
25 Jun,Poland,3–0,Australia,Bulgaria
25 Jun,United States,3–1,Bulgaria,Bulgaria
26 Jun,Serbia,3–0,Australia,Bulgaria
26 Jun,United States,1–3,Poland,Bulgaria
26 Jun,Bulgaria,0–3,Brazil,Bulgaria
5 Jul,United States,3–1,Germany,Japan
5 Jul,Canada,1–3,Argentina,Japan
6 Jul,Brazil,3–1,Germany,Japan
6 Jul,Japan,3–1,Australia,Japan
7 Jul,France,2–3,United States,Japan
7 Jul,Germany,3–1,Australia,Japan
7 Jul,Canada,0–3,Brazil,Japan
8 Jul,Argentina,3–1,Australia,Japan
8 Jul,France,3–0,Brazil,Japan
8 Jul,Japan,3–1,Canada,Japan
9 Jul,France,1–3,Argentina,Japan
9 Jul,Canada,0–3,United States,Japan
9 Jul,Germany,1–3,Japan,Japan
10 Jul,United States,3–2,Argentina,Japan
10 Jul,Australia,0–3,France,Japan
10 Jul,Brazil,3–0,Japan,Japan
5 Jul,Bulgaria,0–3,Italy,Poland
5 Jul,Iran,3–2,Poland,Poland
6 Jul,Netherlands,3–0,China,Poland
6 Jul,Slovenia,3–0,Serbia,Poland
7 Jul,Italy,3–1,Iran,Poland
7 Jul,Bulgaria,1–3,Slovenia,Poland
7 Jul,Poland,3–0,China,Poland
8 Jul,Bulgaria,3–1,Netherlands,Poland
8 Jul,Slovenia,0–3,Iran,Poland
8 Jul,Italy,3–0,Serbia,Poland
9 Jul,China,3–1,Bulgaria,Poland
9 Jul,Iran,3–0,Serbia,Poland
9 Jul,Poland,3–0,Netherlands,Poland
10 Jul,China,1–3,Serbia,Poland
10 Jul,Italy,3–0,Netherlands,Poland
10 Jul,Poland,3–1,Slovenia,Poland
20 Jul,United States,3–1,Brazil,Italy
20 Jul,Italy,3–1,Netherlands,Italy
21 Jul,France,3–0,Japan,Italy
21 Jul,Poland,3–2,Iran,Italy
23 Jul,Poland,0–3,United States,Italy
23 Jul,Italy,0–3,France,Italy
24 Jul,Italy,0–3,Poland,Italy
24 Jul,France,3–2,United States,Italy
