Date,Unnamed: 2,Score,Unnamed: 4,Venue
9 Aug,Dominican Republic,0–3,United States,Canada
9 Aug,Chile,0–3,Cuba,Canada
10 Aug,Cuba,3–0,Dominican Republic,Canada
10 Aug,United States,3–0,Chile,Canada
11 Aug,Chile,3–1,Dominican Republic,Canada
11 Aug,United States,0–3,Cuba,Canada
9 Aug,Brazil,1–3,Puerto Rico,Canada
9 Aug,Canada,2–3,Mexico,Canada
10 Aug,Brazil,1–3,Mexico,Canada
10 Aug,Canada,3–0,Puerto Rico,Canada
11 Aug,Mexico,2–3,Puerto Rico,Canada
11 Aug,Canada,3–2,Brazil,Canada
12 Aug,Mexico,2–3,Chile,Canada
12 Aug,United States,3–0,Puerto Rico,Canada
13 Aug,Brazil,0–3,Puerto Rico,Canada
13 Aug,Dominican Republic,1–3,Mexico,Canada
13 Aug,Cuba,3–0,Chile,Canada
13 Aug,Canada,3–2,United States,Canada
14 Aug,Brazil,2–3,Dominican Republic,Canada
14 Aug,Puerto Rico,3–1,Mexico,Canada
14 Aug,Chile,1–3,United States,Canada
14 Aug,Cuba,3–0,Canada,Canada
