Date,Unnamed: 2,Score,Unnamed: 4,Venue
27 Aug,Tunisia,3–0,Puerto Rico,Poland
27 Aug,Ukraine,0–3,Serbia,Poland
29 Aug,Serbia,3–0,Puerto Rico,Poland
29 Aug,Ukraine,3–0,Tunisia,Poland
31 Aug,Serbia,3–0,Tunisia,Poland
31 Aug,Ukraine,3–1,Puerto Rico,Poland
26 Aug,Brazil,3–2,Cuba,Slovenia
26 Aug,Japan,3–0,Qatar,Slovenia
28 Aug,Cuba,3–1,Qatar,Slovenia
28 Aug,Brazil,3–0,Japan,Slovenia
30 Aug,Brazil,3–0,Qatar,Slovenia
30 Aug,Japan,3–1,Cuba,Slovenia
26 Aug,United States,3–0,Mexico,Poland
26 Aug,Poland,3–0,Bulgaria,Poland
28 Aug,United States,3–0,Bulgaria,Poland
28 Aug,Poland,3–0,Mexico,Poland
30 Aug,Mexico,3–2,Bulgaria,Poland
30 Aug,Poland,3–1,United States,Poland
26 Aug,France,3–0,Germany,Slovenia
26 Aug,Slovenia,3–0,Cameroon,Slovenia
28 Aug,Germany,3–0,Cameroon,Slovenia
28 Aug,France,3–2,Slovenia,Slovenia
30 Aug,France,3–0,Cameroon,Slovenia
30 Aug,Slovenia,3–0,Germany,Slovenia
27 Aug,Turkey,3–0,China,Slovenia
27 Aug,Italy,3–0,Canada,Slovenia
29 Aug,Canada,3–0,China,Slovenia
29 Aug,Italy,3–0,Turkey,Slovenia
31 Aug,Canada,0–3,Turkey,Slovenia
31 Aug,Italy,3–0,China,Slovenia
27 Aug,Netherlands,3–0,Egypt,Slovenia
27 Aug,Argentina,2–3,Iran,Slovenia
29 Aug,Argentina,2–3,Netherlands,Slovenia
29 Aug,Iran,3–1,Egypt,Slovenia
31 Aug,Argentina,3–2,Egypt,Slovenia
31 Aug,Iran,1–3,Netherlands,Slovenia
3 Sep,Slovenia,3–1,Germany,Slovenia
3 Sep,Italy,3–1,Cuba,Slovenia
4 Sep,United States,3–2,Turkey,Poland
4 Sep,Poland,3–0,Tunisia,Poland
5 Sep,Netherlands,0–3,Ukraine,Slovenia
5 Sep,France,3–2,Japan,Slovenia
6 Sep,Serbia,0–3,Argentina,Poland
6 Sep,Brazil,3–0,Iran,Poland
7 Sep,Italy,3–2,France,Slovenia
7 Sep,Slovenia,3–1,Ukraine,Slovenia
8 Sep,Argentina,1–3,Brazil,Poland
8 Sep,Poland,3–2,United States,Poland
10 Sep,Poland,3–2,Brazil,Poland
10 Sep,Italy,3–0,Slovenia,Poland
11 Sep,Brazil,3–1,Slovenia,Poland
11 Sep,Poland,1–3,Italy,Poland
