Date,Unnamed: 2,Score,Unnamed: 4,Venue
26 Jun,Egypt,0–3,Italy,Algeria
27 Jun,North Macedonia,0–3,Egypt,Algeria
28 Jun,Italy,3–0,North Macedonia,Algeria
26 Jun,Turkey,3–0,Algeria,Algeria
26 Jun,France,3–2,Greece,Algeria
27 Jun,Algeria,0–3,France,Algeria
27 Jun,Greece,3–2,Turkey,Algeria
28 Jun,Greece,0–3,Algeria,Algeria
28 Jun,Turkey,0–3,France,Algeria
26 Jun,Tunisia,3–0,Serbia,Algeria
26 Jun,Croatia,3–1,Spain,Algeria
27 Jun,Serbia,0–3,Croatia,Algeria
27 Jun,Spain,3–0,Tunisia,Algeria
28 Jun,Spain,3–2,Serbia,Algeria
28 Jun,Tunisia,3–2,Croatia,Algeria
1 Jul,Turkey,3–1,Greece,Algeria
1 Jul,Egypt,1–3,Tunisia,Algeria
2 Jul,Greece,3–1,Egypt,Algeria
2 Jul,Turkey,3–1,Tunisia,Algeria
30 Jun,Italy,3–0,Turkey,Algeria
30 Jun,Egypt,2–3,Spain,Algeria
30 Jun,France,3–1,Tunisia,Algeria
30 Jun,Croatia,3–0,Greece,Algeria
2 Jul,Italy,1–3,Croatia,Algeria
2 Jul,Spain,3–0,France,Algeria
4 Jul,Italy,3–1,France,Algeria
4 Jul,Croatia,3–0,Spain,Algeria
