Date,Unnamed: 2,Score,Unnamed: 4,Venue
3 Sep,Egypt,3–0,Burundi,Egypt
5 Sep,Burundi,0–3,Algeria,Egypt
6 Sep,Algeria,3–0,Egypt,Egypt
4 Sep,Tunisia,3–0,Mali,Egypt
4 Sep,Chad,3–0,Tanzania,Egypt
5 Sep,Mali,1–3,Tanzania,Egypt
5 Sep,Tunisia,3–0,Chad,Egypt
6 Sep,Chad,3–0,Mali,Egypt
6 Sep,Tanzania,0–3,Tunisia,Egypt
4 Sep,Libya,3–1,Ghana,Egypt
4 Sep,Kenya,1–3,Cameroon,Egypt
5 Sep,Ghana,0–3,Cameroon,Egypt
5 Sep,Libya,3–0,Kenya,Egypt
6 Sep,Kenya,3–2,Ghana,Egypt
6 Sep,Cameroon,1–3,Libya,Egypt
4 Sep,Morocco,3–0,Rwanda,Egypt
5 Sep,Gambia,1–3,Rwanda,Egypt
5 Sep,Senegal,0–3,Morocco,Egypt
6 Sep,Morocco,3–0,Gambia,Egypt
6 Sep,Rwanda,3–0,Senegal,Egypt
7 Sep,Senegal,2–3,Gambia,Egypt
9 Sep,Senegal,3–0,Burundi,Egypt
9 Sep,Ghana,3–1,Tanzania,Egypt
9 Sep,Mali,0–3,Kenya,Egypt
11 Sep,Mali,0–3,Burundi,Egypt
11 Sep,Ghana,3–2,Gambia,Egypt
11 Sep,Kenya,3–0,Senegal,Egypt
12 Sep,Tanzania,3–1,Burundi,Egypt
12 Sep,Gambia,0–3,Senegal,Egypt
12 Sep,Ghana,2–3,Kenya,Egypt
11 Sep,Rwanda,3–0,Chad,Egypt
11 Sep,Morocco,0–3,Tunisia,Egypt
12 Sep,Chad,3–0,Morocco[a],Egypt
12 Sep,Rwanda,0–3,Tunisia,Egypt
8 Sep,Rwanda,3–1,Tanzania,Egypt
8 Sep,Cameroon,3–0,Burundi,Egypt
8 Sep,Tunisia,3–0,Senegal,Egypt
8 Sep,Chad,3–1,Gambia,Egypt
8 Sep,Morocco,3–0,Mali,Egypt
8 Sep,Algeria,3–0,Ghana,Egypt
8 Sep,Egypt,3–0,Kenya,Egypt
9 Sep,Algeria,3–0,Rwanda,Egypt
9 Sep,Tunisia,1–3,Cameroon,Egypt
9 Sep,Morocco,0–3,Egypt,Egypt
9 Sep,Libya,3–0,Chad,Egypt
11 Sep,Algeria,3–2,Libya,Egypt
11 Sep,Egypt,3–1,Cameroon,Egypt
13 Sep,Libya,3–1,Cameroon,Egypt
13 Sep,Algeria,1–3,Egypt,Egypt
