Date,Unnamed: 3,Score,Unnamed: 5,Venue
8 Jul,Chinese Taipei,3–1,Kazakhstan,Chinese Taipei
8 Jul,South Korea,3–0,Thailand,Chinese Taipei
9 Jul,Saudi Arabia,0–3,South Korea,Chinese Taipei
10 Jul,Thailand,3–0,Saudi Arabia,Chinese Taipei
9 Jul,Hong Kong,3–0,India,Chinese Taipei
8 Jul,Macau,0–3,Mongolia,Chinese Taipei
9 Jul,Philippines,3–0,Macau,Chinese Taipei
10 Jul,Mongolia,2–3,Philippines,Chinese Taipei
9 Jul,Vietnam,1–3,Australia,Chinese Taipei
8 Jul,Sri Lanka,1–3,Indonesia,Chinese Taipei
9 Jul,Bahrain,3–1,Sri Lanka,Chinese Taipei
10 Jul,Indonesia,3–2,Bahrain,Chinese Taipei
13 Jul,Sri Lanka,3–0,Saudi Arabia,Chinese Taipei
12 Jul,Philippines,0–3,Bahrain,Chinese Taipei
12 Jul,South Korea,3–0,Mongolia,Chinese Taipei
12 Jul,Indonesia,3–0,Kazakhstan,Chinese Taipei
12 Jul,Australia,3–0,Macau,Chinese Taipei
12 Jul,Chinese Taipei,1–3,Vietnam,Chinese Taipei
12 Jul,Hong Kong,1–3,Thailand,Chinese Taipei
13 Jul,Kazakhstan,3–0,Hong Kong,Chinese Taipei
13 Jul,Philippines,3–0,Macau,Chinese Taipei
13 Jul,Indonesia,2–3,Thailand,Chinese Taipei
13 Jul,Bahrain,3–1,Australia,Chinese Taipei
14 Jul,Chinese Taipei,0–3,Kazakhstan,Chinese Taipei
14 Jul,Mongolia,3–2,Philippines,Chinese Taipei
14 Jul,Vietnam,1–3,Thailand,Chinese Taipei
14 Jul,South Korea,0–3,Bahrain,Chinese Taipei
14 Jul,Hong Kong,3–0,Macau,Chinese Taipei
15 Jul,Chinese Taipei,3–1,Philippines,Chinese Taipei
15 Jul,Kazakhstan,3–0,Mongolia,Chinese Taipei
15 Jul,Indonesia,1–3,Australia,Chinese Taipei
15 Jul,Vietnam,1–3,South Korea,Chinese Taipei
15 Jul,Thailand,3–0,Bahrain,Chinese Taipei
