Date,Unnamed: 2,Score,Unnamed: 4,Venue
27 May,Portugal,3–0,Romania,Portugal
27 May,Denmark,0–3,Turkey,Denmark
31 May,Denmark,3–0,Romania,Denmark
31 May,Portugal,2–3,Turkey,Portugal
3 Jun,Denmark,3–1,Portugal,Denmark
4 Jun,Turkey,2–3,Romania,Turkey
10 Jun,Romania,2–3,Turkey,Romania
10 Jun,Portugal,3–0,Denmark,Portugal
14 Jun,Romania,3–1,Denmark,Romania
14 Jun,Turkey,3–1,Portugal,Turkey
17 Jun,Turkey,3–1,Denmark,Turkey
18 Jun,Romania,2–3,Portugal,Romania
27 May,Belgium,3–1,Croatia,Belgium
27 May,Ukraine,3–0,North Macedonia,Poland
31 May,Ukraine,3–0,Croatia,Poland
31 May,North Macedonia,3–1,Belgium,North Macedonia
3 Jun,Belgium,0–3,Ukraine,Belgium
3 Jun,North Macedonia,3–2,Croatia,North Macedonia
10 Jun,Belgium,3–0,North Macedonia,Belgium
11 Jun,Croatia,0–3,Ukraine,Croatia
14 Jun,Ukraine,3–0,Belgium,Poland
14 Jun,Croatia,3–2,North Macedonia,Croatia
18 Jun,Croatia,3–1,Belgium,Croatia
18 Jun,North Macedonia,0–3,Ukraine,North Macedonia
27 May,Czech Republic,3–1,Slovakia,Czech Republic
27 May,Estonia,0–3,Finland,Estonia
31 May,Czech Republic,3–2,Finland,Czech Republic
31 May,Estonia,3–0,Slovakia,Estonia
3 Jun,Czech Republic,3–1,Estonia,Czech Republic
4 Jun,Finland,3–2,Slovakia,Finland
10 Jun,Slovakia,3–0,Finland,Slovakia
10 Jun,Estonia,3–0,Czech Republic,Estonia
14 Jun,Slovakia,2–3,Estonia,Slovakia
14 Jun,Finland,0–3,Czech Republic,Finland
17 Jun,Slovakia,0–3,Czech Republic,Slovakia
17 Jun,Finland,3–1,Estonia,Finland
29 May,Faroe Islands,0–3,Cyprus,Faroe Islands
30 May,Cyprus,3–0,Faroe Islands,Faroe Islands
4 Jun,Faroe Islands,0–3,Latvia,Faroe Islands
10 Jun,Latvia,3–0,Faroe Islands,Latvia
13 Jun,Cyprus,0–3,Latvia,Latvia
14 Jun,Latvia,3–0,Cyprus,Latvia
27 May,Hungary,3–0,Georgia,Hungary
31 May,Georgia,0–3,Austria,Georgia
3 Jun,Austria,2–3,Hungary,Austria
10 Jun,Hungary,3–0,Austria,Hungary
14 Jun,Austria,3–0,Georgia,Austria
17 Jun,Georgia,0–3,Hungary,Georgia
24 Jun,Turkey,3–2,Czech Republic,Croatia
24 Jun,Croatia,1–3,Ukraine,Croatia
25 Jun,Czech Republic,0–3,Croatia,Croatia
25 Jun,Turkey,3–2,Ukraine,Croatia
24 Jun,Austria,0–3,Latvia,Austria
28 Jun,Cyprus,3–1,Hungary,Cyprus
28 Jun,Latvia,3–0,Austria,Latvia
1 Jul,Hungary,3–1,Cyprus,Hungary
6 Jul,Hungary,1–3,Latvia,Hungary
9 Jul,Latvia,3–0,Hungary,Latvia
