Date,Unnamed: 2,Score,Unnamed: 4,Venue
28 Aug,Belgium,0–3,Italy,Italy
30 Aug,Germany,3–0,Estonia,Italy
30 Aug,Switzerland,0–3,Serbia,Italy
31 Aug,Serbia,3–1,Belgium,Italy
31 Aug,Estonia,0–3,Italy,Italy
1 Sep,Germany,3–0,Switzerland,Italy
1 Sep,Serbia,0–3,Italy,Italy
3 Sep,Estonia,3–2,Switzerland,Italy
3 Sep,Belgium,2–3,Germany,Italy
4 Sep,Serbia,3–0,Estonia,Italy
4 Sep,Italy,3–0,Switzerland,Italy
5 Sep,Belgium,3–1,Estonia,Italy
5 Sep,Germany,1–3,Serbia,Italy
6 Sep,Switzerland,0–3,Belgium,Italy
6 Sep,Germany,2–3,Italy,Italy
29 Aug,Spain,3–1,Bulgaria,Bulgaria
30 Aug,Slovenia,3–1,Ukraine,Bulgaria
30 Aug,Finland,3–0,Croatia,Bulgaria
31 Aug,Ukraine,2–3,Croatia,Bulgaria
31 Aug,Finland,1–3,Bulgaria,Bulgaria
1 Sep,Finland,0–3,Slovenia,Bulgaria
1 Sep,Croatia,3–0,Spain,Bulgaria
2 Sep,Slovenia,3–0,Spain,Bulgaria
2 Sep,Bulgaria,3–1,Ukraine,Bulgaria
3 Sep,Spain,3–1,Finland,Bulgaria
3 Sep,Bulgaria,1–3,Croatia,Bulgaria
4 Sep,Ukraine,3–2,Finland,Bulgaria
4 Sep,Croatia,0–3,Slovenia,Bulgaria
5 Sep,Spain,0–3,Ukraine,Bulgaria
5 Sep,Slovenia,3–0,Bulgaria,Bulgaria
30 Aug,North Macedonia,3–1,Denmark,North Macedonia
31 Aug,Montenegro,0–3,Netherlands,North Macedonia
31 Aug,Poland,3–0,Czech Republic,North Macedonia
1 Sep,Denmark,1–3,Czech Republic,North Macedonia
1 Sep,Netherlands,1–3,Poland,North Macedonia
2 Sep,Netherlands,3–0,Czech Republic,North Macedonia
2 Sep,North Macedonia,3–0,Montenegro,North Macedonia
3 Sep,Denmark,1–3,Montenegro,North Macedonia
3 Sep,Poland,3–0,North Macedonia,North Macedonia
4 Sep,Denmark,1–3,Netherlands,North Macedonia
4 Sep,Czech Republic,3–0,Montenegro,North Macedonia
5 Sep,North Macedonia,0–3,Netherlands,North Macedonia
5 Sep,Poland,3–0,Denmark,North Macedonia
6 Sep,Montenegro,0–3,Poland,North Macedonia
6 Sep,North Macedonia,0–3,Czech Republic,North Macedonia
29 Aug,Greece,2–3,Israel,Israel
30 Aug,Turkey,0–3,France,Israel
30 Aug,Romania,0–3,Portugal,Israel
31 Aug,France,3–1,Portugal,Israel
31 Aug,Romania,2–3,Israel,Israel
1 Sep,Romania,3–2,Turkey,Israel
1 Sep,Portugal,2–3,Greece,Israel
2 Sep,Turkey,3–1,Greece,Israel
2 Sep,Israel,0–3,France,Israel
3 Sep,Greece,1–3,Romania,Israel
3 Sep,Israel,0–3,Portugal,Israel
4 Sep,France,1–3,Romania,Israel
4 Sep,Portugal,3–2,Turkey,Israel
5 Sep,Greece,0–3,France,Israel
5 Sep,Turkey,3–0,Israel,Israel
8 Sep,Croatia,2–3,Romania,Bulgaria
8 Sep,France,3–0,Bulgaria,Bulgaria
9 Sep,Slovenia,3–2,Turkey,Bulgaria
9 Sep,Italy,3–0,North Macedonia,Italy
9 Sep,Portugal,0–3,Ukraine,Bulgaria
9 Sep,Netherlands,3–2,Germany,Italy
10 Sep,Serbia,3–0,Czech Republic,Italy
10 Sep,Poland,3–1,Belgium,Italy
11 Sep,Slovenia,3–1,Ukraine,Bulgaria
11 Sep,France,3–0,Romania,Bulgaria
12 Sep,Poland,3–1,Serbia,Italy
12 Sep,Italy,3–2,Netherlands,Italy
14 Sep,Poland,3–1,Slovenia,Italy
14 Sep,Italy,3–0,France,Italy
16 Sep,France,2–3,Slovenia,Italy
16 Sep,Italy,0–3,Poland,Italy
