Date,Unnamed: 2,Score,Unnamed: 4,Venue
5 Sep,Canada,3–0,Dominican Republic,United States
6 Sep,Canada,3–0,Mexico,United States
7 Sep,Dominican Republic,3–0,Mexico,United States
5 Sep,Cuba,3–0,Puerto Rico,United States
5 Sep,United States,3–0,Suriname,United States
6 Sep,Suriname,0–3,Cuba,United States
6 Sep,Puerto Rico,0–3,United States,United States
7 Sep,Suriname,0–3,Puerto Rico,United States
7 Sep,United States,3–2,Cuba,United States
8 Sep,Cuba,3–0,Mexico,United States
8 Sep,Dominican Republic,3–0,Puerto Rico,United States
9 Sep,Mexico,3–1,Puerto Rico,United States
9 Sep,United States,3–0,Dominican Republic,United States
9 Sep,Canada,3–2,Cuba,United States
10 Sep,Puerto Rico,3–1,Suriname,United States
10 Sep,Cuba,3–0,Dominican Republic,United States
10 Sep,Canada,0–3,United States,United States
