Date,Unnamed: 2,Score,Unnamed: 4,Venue
30 Sep,Brazil,3–0,Qatar,Brazil
30 Sep,Italy,3–1,Czech Republic,Brazil
30 Sep,Iran,1–3,Germany,Brazil
30 Sep,Cuba,3–0,Ukraine,Brazil
1 Oct,Brazil,3–2,Czech Republic,Brazil
1 Oct,Cuba,1–3,Germany,Brazil
1 Oct,Italy,3–0,Qatar,Brazil
1 Oct,Iran,0–3,Ukraine,Brazil
3 Oct,Iran,3–1,Qatar,Brazil
3 Oct,Cuba,3–0,Czech Republic,Brazil
3 Oct,Italy,3–0,Ukraine,Brazil
3 Oct,Brazil,1–3,Germany,Brazil
4 Oct,Iran,1–3,Czech Republic,Brazil
4 Oct,Italy,1–3,Germany,Brazil
4 Oct,Cuba,3–0,Qatar,Brazil
4 Oct,Brazil,3–2,Ukraine,Brazil
6 Oct,Brazil,3–1,Cuba,Brazil
6 Oct,Italy,3–0,Iran,Brazil
6 Oct,Ukraine,3–1,Qatar,Brazil
6 Oct,Germany,3–0,Czech Republic,Brazil
7 Oct,Brazil,3–0,Iran,Brazil
7 Oct,Italy,1–3,Cuba,Brazil
7 Oct,Ukraine,3–1,Czech Republic,Brazil
7 Oct,Germany,3–0,Qatar,Brazil
8 Oct,Brazil,3–2,Italy,Brazil
8 Oct,Iran,2–3,Cuba,Brazil
8 Oct,Ukraine,0–3,Germany,Brazil
8 Oct,Czech Republic,3–1,Qatar,Brazil
30 Sep,Slovenia,3–0,Tunisia,Japan
30 Sep,Serbia,1–3,Turkey,Japan
30 Sep,United States,3–0,Egypt,Japan
30 Sep,Japan,3–2,Finland,Japan
1 Oct,Slovenia,3–0,Turkey,Japan
1 Oct,Serbia,3–0,Tunisia,Japan
1 Oct,United States,3–0,Finland,Japan
1 Oct,Japan,2–3,Egypt,Japan
3 Oct,Slovenia,3–1,Finland,Japan
3 Oct,Serbia,3–1,Egypt,Japan
3 Oct,United States,3–1,Turkey,Japan
3 Oct,Japan,3–0,Tunisia,Japan
4 Oct,Slovenia,3–1,Egypt,Japan
4 Oct,Serbia,3–0,Finland,Japan
4 Oct,United States,3–0,Tunisia,Japan
4 Oct,Japan,3–0,Turkey,Japan
6 Oct,Turkey,3–2,Finland,Japan
6 Oct,Tunisia,2–3,Egypt,Japan
6 Oct,United States,3–1,Slovenia,Japan
6 Oct,Japan,3–0,Serbia,Japan
7 Oct,Turkey,3–1,Egypt,Japan
7 Oct,Tunisia,0–3,Finland,Japan
7 Oct,United States,3–0,Serbia,Japan
7 Oct,Japan,3–0,Slovenia,Japan
8 Oct,Egypt,2–3,Finland,Japan
8 Oct,Turkey,3–0,Tunisia,Japan
8 Oct,Slovenia,3–0,Serbia,Japan
8 Oct,Japan,2–3,United States,Japan
30 Sep,Argentina,3–0,Mexico,China
30 Sep,Netherlands,2–3,Canada,China
30 Sep,Poland,3–2,Belgium,China
30 Sep,China,0–3,Bulgaria,China
1 Oct,Argentina,1–3,Canada,China
1 Oct,Netherlands,3–0,Mexico,China
1 Oct,Poland,3–0,Bulgaria,China
1 Oct,China,1–3,Belgium,China
3 Oct,Argentina,3–0,Bulgaria,China
3 Oct,Netherlands,0–3,Belgium,China
3 Oct,Poland,3–2,Canada,China
3 Oct,China,3–0,Mexico,China
4 Oct,Netherlands,0–3,Bulgaria,China
4 Oct,Argentina,3–2,Belgium,China
4 Oct,Poland,3–0,Mexico,China
4 Oct,China,0–3,Canada,China
6 Oct,Canada,3–0,Bulgaria,China
6 Oct,Mexico,0–3,Belgium,China
6 Oct,Poland,3–1,Argentina,China
6 Oct,China,2–3,Netherlands,China
7 Oct,Canada,1–3,Belgium,China
7 Oct,Mexico,0–3,Bulgaria,China
7 Oct,Poland,3–1,Netherlands,China
7 Oct,China,2–3,Argentina,China
8 Oct,Belgium,2–3,Bulgaria,China
8 Oct,Argentina,3–0,Netherlands,China
8 Oct,Canada,3–0,Mexico,China
8 Oct,China,2–3,Poland,China
