Date,Team 1,Score,Team 2,Venue
2023-09-19,Kyrgyzstan,2-3,Kazakhstan,China
2023-09-20,China,3-0,Kyrgyzstan,China
2023-09-21,Kazakhstan,0-3,China,China
2023-09-19,Nepal,1-3,Bahrain,China
2023-09-20,Iran,3-0,Nepal,China
2023-09-21,Bahrain,1-3,Iran,China
2023-09-19,India,3-0,Cambodia,China
2023-09-20,South Korea,2-3,India,China
2023-09-21,Cambodia,0-3,South Korea,China
2023-09-19,Pakistan,3-0,Mongolia,China
2023-09-20,Chinese Taipei,0-3,Pakistan,China
2023-09-21,Mongolia,0-3,Chinese Taipei,China
2023-09-19,Thailand,3-0,Hong Kong,China
2023-09-20,Qatar,3-1,Thailand,China
2023-09-21,Hong Kong,1-3,Qatar,China
2023-09-19,Japan,3-0,Afghanistan,China
2023-09-19,Indonesia,3-0,Philippines,China
2023-09-20,Afghanistan,0-3,Philippines,China
2023-09-20,Japan,3-0,Indonesia,China
2023-09-21,Indonesia,3-0,Afghanistan,China
2023-09-21,Philippines,0-3,Japan,China
2023-09-22,Iran,3-0,Thailand,China
2023-09-22,Bahrain,1-3,Qatar,China
2023-09-22,Kazakhstan,0-3,Japan,China
2023-09-22,India,3-0,Chinese Taipei,China
2023-09-22,China,3-1,Indonesia,China
2023-09-22,South Korea,0-3,Pakistan,China
2023-09-24,Chinese Taipei,2-3,Kazakhstan,China
2023-09-24,Bahrain,1-3,South Korea,China
2023-09-24,Japan,3-0,India,China
2023-09-24,Pakistan,1-3,Qatar,China
2023-09-25,Indonesia,3-2,Kazakhstan,China
2023-09-25,Thailand,1-3,South Korea,China
2023-09-25,Iran,3-0,Qatar,China
2023-09-25,China,3-0,Japan,China
2023-09-25,Chinese Taipei,3-1,Bahrain,China
2023-09-26,Kazakhstan,3-0,Thailand,China
2023-09-26,Indonesia,2-3,South Korea,China
2023-09-26,India,0-3,Pakistan,China
2023-09-26,Japan,3-1,Qatar,China
2023-09-26,China,1-3,Iran,China
