Date,Team 1,Score,Team 2,Venue
30 October 2023,Brazil,3-0,Colombia,Chile
30 October 2023,Cuba,3-2,Mexico,Chile
31 October 2023,Cuba,3-0,Colombia,Chile
31 October 2023,Brazil,3-0,Mexico,Chile
1 November 2023,Brazil,3-2,Cuba,Chile
1 November 2023,Colombia,3-0,Mexico,Chile
30 October 2023,Argentina,3-0,Puerto Rico,Chile
30 October 2023,Chile,3-1,Dominican Republic,Chile
31 October 2023,Argentina,3-1,Dominican Republic,Chile
31 October 2023,Chile,3-1,Puerto Rico,Chile
1 November 2023,Puerto Rico,3-1,Dominican Republic,Chile
1 November 2023,Chile,0-3,Argentina,Chile
2 November 2023,Chile,1-3,Colombia,Chile
2 November 2023,Cuba,3-2,Puerto Rico,Chile
3 November 2023,Dominican Republic,3-2,Chile,Chile
3 November 2023,Mexico,3-2,Puerto Rico,Chile
3 November 2023,Argentina,3-1,Cuba,Chile
3 November 2023,Brazil,3-0,Colombia,Chile
4 November 2023,Chile,3-0,Puerto Rico,Chile
4 November 2023,Dominican Republic,3-1,Mexico,Chile
4 November 2023,Cuba,1-3,Colombia,Chile
4 November 2023,Argentina,0-3,Brazil,Chile
