Unnamed: 0,Date,Home_ranking,Home_team,Home_result,Away_ranking,Away_team,Away_result,Increment,Venue,Prestige
738,2023-06-09,139.48,PUR,1,128.84,DOM,3,2.02,MEX,1.0
739,2023-06-09,175.26,MEX,3,36.97,GUA,0,0.84,MEX,1.0
740,2023-06-10,176.1,MEX,3,130.87,DOM,0,1.88,MEX,1.0
750,2023-06-10,137.46,PUR,3,36.14,GUA,0,1.2,MEX,1.0
758,2023-06-11,128.99,DOM,3,34.94,GUA,0,1.28,MEX,1.0
762,2023-06-11,177.98,MEX,3,138.65,PUR,2,0.71,MEX,1.0
900,2023-08-18,41.25,PER,3,135.49,PUR,2,2.48,MEX,1.0
901,2023-08-18,71.51,COL,2,143.56,CHI,3,0.29,MEX,1.0
904,2023-08-19,133.01,PUR,3,128.46,DOM,1,1.81,MEX,1.0
910,2023-08-20,143.84,CHI,3,179.82,MEX,0,3.0,MEX,1.0
1089,2023-09-21,133.77,DOM,0,156.12,MEX,3,2.19,CAN,1.0
1090,2023-09-22,158.31,MEX,1,120.47,PUR,3,2.4,CAN,1.0
1091,2023-09-23,122.87,PUR,3,131.58,DOM,2,1.37,CAN,1.0
1092,2023-09-24,124.24,PUR,3,130.21,DOM,2,1.33,CAN,1.0
